,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
34515,2011-02-09,Norway,Poland,0.0,1.0,Friendly,Faro,Portugal,True
34516,2011-02-09,Philippines,Mongolia,2.0,0.0,AFC Challenge Cup qualification,Bacolod,Philippines,False
34517,2011-02-09,San Marino,Liechtenstein,0.0,1.0,Friendly,Serravalle,San Marino,False
34518,2011-02-09,Scotland,Northern Ireland,3.0,0.0,Nations Cup,Dublin,Republic of Ireland,True
34519,2011-02-09,Senegal,Guinea,3.0,0.0,Friendly,Dakar,Senegal,False
34520,2011-02-09,South Africa,Kenya,2.0,0.0,Friendly,Rustenburg,South Africa,False
34521,2011-02-09,Spain,Colombia,1.0,0.0,Friendly,Madrid,Spain,False
34522,2011-02-09,Eswatini,Zambia,0.0,4.0,Friendly,Manzini,Swaziland,False
34523,2011-02-09,Sweden,Ukraine,1.0,1.0,Cyprus International Tournament,Nicosia,Cyprus,True
34524,2011-02-09,Tanzania,Palestine,1.0,0.0,Friendly,Dar es Salaam,Tanzania,False
34525,2011-02-09,Turkey,South Korea,0.0,0.0,Friendly,Trabzon,Turkey,False
34526,2011-02-09,Venezuela,Costa Rica,2.0,2.0,Friendly,Puerto la Cruz,Venezuela,False
34527,2011-02-14,Bahrain,Kuwait,0.0,0.0,Friendly,Riffa,Bahrain,False
34528,2011-02-16,Laos,Taiwan,1.0,1.0,AFC Challenge Cup qualification,Vientiane,Laos,False
34529,2011-02-16,Macau,Cambodia,3.0,2.0,AFC Challenge Cup qualification,Macau,Macau,False
34530,2011-03-11,Gibraltar,Faroe Islands,3.0,0.0,Friendly,Gibraltar,Gibraltar,False
34531,2011-03-15,Mongolia,Philippines,2.0,1.0,AFC Challenge Cup qualification,Ulaanbaatar,Mongolia,False
34532,2011-03-16,Argentina,Venezuela,4.0,1.0,Friendly,San Juan,Argentina,False
34533,2011-03-16,Botswana,Namibia,1.0,1.0,Friendly,Maun,Botswana,False
34534,2011-03-17,Nepal,Bhutan,1.0,0.0,Friendly,Pokhara,Nepal,False
34535,2011-03-19,Nepal,Bhutan,2.0,1.0,Friendly,Pokhara,Nepal,False
34536,2011-03-19,Alderney,Guernsey,0.0,5.0,Muratti Vase,Alderney,Alderney,False
34537,2011-03-21,Myanmar,Philippines,1.0,1.0,AFC Challenge Cup qualification,Yangon,Myanmar,False
34538,2011-03-21,India,Taiwan,3.0,0.0,AFC Challenge Cup qualification,Petaling Jaya,Malaysia,True
34539,2011-03-21,Maldives,Cambodia,4.0,0.0,AFC Challenge Cup qualification,Malé,Maldives,False
34540,2011-03-21,Palestine,Bangladesh,2.0,0.0,AFC Challenge Cup qualification,Yangon,Myanmar,True
34541,2011-03-21,Tajikistan,Kyrgyzstan,1.0,0.0,AFC Challenge Cup qualification,Malé,Maldives,True
34542,2011-03-21,Turkmenistan,Pakistan,3.0,0.0,AFC Challenge Cup qualification,Petaling Jaya,Malaysia,True
34543,2011-03-23,Bhutan,Afghanistan,0.0,3.0,AFC Challenge Cup qualification,Gurgaon,India,True
34544,2011-03-23,Myanmar,Bangladesh,0.0,2.0,AFC Challenge Cup qualification,Yangon,Myanmar,False
34545,2011-03-23,Cambodia,Tajikistan,0.0,3.0,AFC Challenge Cup qualification,Malé,Maldives,True
34546,2011-03-23,Maldives,Kyrgyzstan,2.0,1.0,AFC Challenge Cup qualification,Malé,Maldives,False
34547,2011-03-23,Pakistan,India,1.0,3.0,AFC Challenge Cup qualification,Petaling Jaya,Malaysia,True
34548,2011-03-23,Philippines,Palestine,0.0,0.0,AFC Challenge Cup qualification,Yangon,Myanmar,True
34549,2011-03-24,Cuba,El Salvador,0.0,1.0,Friendly,Havana,Cuba,False
34550,2011-03-25,Afghanistan,Bhutan,2.0,0.0,AFC Challenge Cup qualification,Gurgaon,India,True
34551,2011-03-25,Austria,Belgium,0.0,2.0,UEFA Euro qualification,Vienna,Austria,False
34552,2011-03-25,Bangladesh,Philippines,0.0,3.0,AFC Challenge Cup qualification,Yangon,Myanmar,True
34553,2011-03-25,Myanmar,Palestine,1.0,3.0,AFC Challenge Cup qualification,Yangon,Myanmar,False
34554,2011-03-25,Cambodia,Kyrgyzstan,3.0,4.0,AFC Challenge Cup qualification,Malé,Maldives,True
34555,2011-03-25,China PR,New Zealand,1.0,1.0,Friendly,Wuhan,China PR,False
34556,2011-03-25,Estonia,Uruguay,2.0,0.0,Friendly,Tallinn,Estonia,False
34557,2011-03-25,Hungary,Netherlands,0.0,4.0,UEFA Euro qualification,Budapest,Hungary,False
34558,2011-03-25,Jamaica,Venezuela,0.0,2.0,Friendly,Montego Bay,Jamaica,False
34559,2011-03-25,South Korea,Honduras,4.0,0.0,Friendly,Seoul,South Korea,False
